"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"12616",1397000,398000,0.00512,3.2e-06,0.0077504,0.0095132,0.0098208,0.0029104,0.1380916,0.0199696,0.0011116,8.8e-06,0.0114516,0.0666296,0.0069888,0.061912,0.5341396,0.0768228,1.2e-06,1.2e-06,0.0013912,0.0274168,0.0151224,2e-06,0.0038212
"12617",1405000,398000,0.003384,6.4e-06,0.0059584,0.0083208,0.0070716,0.0013528,0.1230376,0.018518,0.0013148,4.8e-06,0.0097216,0.0692268,0.0057824,0.052618,0.5423584,0.1019292,2.76e-05,2.4e-06,0.0014868,0.0233708,0.0210128,3.16e-05,0.0034624
"12618",1413000,398000,0.0023864,1.6e-06,0.003754,0.0046476,0.0055396,0.001004,0.1257576,0.0153388,0.0006528,3.2e-06,0.0051988,0.0669852,0.003796,0.0357952,0.558604,0.12863,8e-07,2e-06,0.001258,0.0181716,0.01967,6.4e-06,0.0027964
"12619",1421000,398000,0.0019932,2.4e-06,0.0023776,0.0029084,0.0029736,0.0004816,0.163812,0.0156644,0.000612,2.8e-06,0.001316,0.08193,0.0018012,0.027514,0.5328256,0.125084,2e-07,2.8e-06,0.0013756,0.0162012,0.0173584,8e-06,0.0037552
"12620",1429000,398000,0.001858,1.2e-06,0.0018656,0.0015792,0.0030448,0.0003764,0.1426052,0.0137864,0.000622,2.4e-06,0.0007348,0.0989708,0.0009248,0.0248776,0.4988372,0.166726,2e-07,1.48e-05,0.0010732,0.015302,0.0241256,2.4e-06,0.0026696
"12621",1437000,398000,0.001604,2.4e-06,0.0010384,0.0010428,0.0043324,0.0002516,0.0609812,0.0055704,0.000634,4.8e-06,0.0004376,0.0747896,0.0008764,0.0189812,0.5544028,0.2426584,2e-07,1.2e-06,0.000946,0.007228,0.0223472,4e-06,0.0018656
"12622",1445000,398000,0.0014276,1.68e-05,0.0010144,0.0017024,0.0033748,0.0004044,0.0409904,0.0036204,0.0013768,1.6e-06,0.0003248,0.0806608,0.0011196,0.0157604,0.5801392,0.251552,2e-07,2e-07,0.0015244,0.0054348,0.005412,4.4e-06,0.004138
"12623",1453000,398000,0.001388,3.6e-06,0.0007644,0.0012476,0.0025384,0.0005948,0.02457,0.00236,0.001482,4e-06,0.0003156,0.0738664,0.0011024,0.0117844,0.686698,0.1791264,8e-07,2.4e-06,0.001014,0.0042716,0.0017168,1.2e-06,0.0051472
"12624",1461000,398000,0.0026904,1.2e-05,0.0014332,0.0015088,0.00504,0.0012568,0.0715752,0.0064532,0.0022016,4.8e-06,0.0008436,0.0876152,0.0023656,0.0188272,0.5827268,0.1887956,2e-07,4.44e-05,0.00249,0.0090808,0.0047072,3.2e-06,0.0103244
"12625",1469000,398000,0.00236,1.32e-05,0.0014188,0.0017136,0.0050188,0.0010412,0.117308,0.009022,0.0019312,6.4e-06,0.0008776,0.0760292,0.0021152,0.0204452,0.5578924,0.1629928,4e-06,1.2e-06,0.0023008,0.0155092,0.0129076,2e-06,0.0090896
